Date : 2024-02-01 22:26:01
Directory : /home/gabrielt/Git/OS
Total : 417 files,  1350 codes, 200 comments, 224 blanks, all 1774 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Rust         |         22 |        728 |        173 |        181 |      1,082 |
| JSON         |        386 |        414 |          0 |          0 |        414 |
| TOML         |          3 |        155 |          5 |         29 |        189 |
| XML          |          4 |         42 |          0 |          0 |         42 |
| Shell Script |          1 |          9 |         22 |         13 |         44 |
| Markdown     |          1 |          2 |          0 |          1 |          3 |
+--------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                            |        417 |      1,350 |        200 |        224 |      1,774 |
| . (Files)                                                                                                                                                                    |          2 |         17 |          0 |          1 |         18 |
| .idea                                                                                                                                                                        |          4 |         42 |          0 |          0 |         42 |
| blog_os                                                                                                                                                                      |        411 |      1,291 |        200 |        223 |      1,714 |
| blog_os (Files)                                                                                                                                                              |          5 |        174 |         26 |         41 |        241 |
| blog_os/.cargo                                                                                                                                                               |          1 |          5 |          1 |          2 |          8 |
| blog_os/src                                                                                                                                                                  |         14 |        633 |        173 |        156 |        962 |
| blog_os/src (Files)                                                                                                                                                          |          7 |        410 |         82 |        111 |        603 |
| blog_os/src/System69                                                                                                                                                         |          2 |          1 |          0 |          1 |          2 |
| blog_os/src/kernel                                                                                                                                                           |          5 |        222 |         91 |         44 |        357 |
| blog_os/target                                                                                                                                                               |        389 |        438 |          0 |         15 |        453 |
| blog_os/target (Files)                                                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage                                                                                                                                                     |         62 |         71 |          0 |          0 |         71 |
| blog_os/target/bootimage/bootloader                                                                                                                                          |         62 |         71 |          0 |          0 |         71 |
| blog_os/target/bootimage/bootloader (Files)                                                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/release                                                                                                                                  |         19 |         19 |          0 |          0 |         19 |
| blog_os/target/bootimage/bootloader/release/.fingerprint                                                                                                                     |         19 |         19 |          0 |          0 |         19 |
| blog_os/target/bootimage/bootloader/release/.fingerprint/bitflags-3febd674b1e189bc                                                                                           |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/release/.fingerprint/bitflags-7fba466a169bcaee                                                                                           |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/release/.fingerprint/bootloader-0deeae7c0c62daf1                                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/release/.fingerprint/bootloader-7c94ef09814d3581                                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/release/.fingerprint/bootloader-eb6b37b09f94294a                                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/release/.fingerprint/compiler_builtins-42a5a7415f3a2fe6                                                                                  |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/release/.fingerprint/compiler_builtins-c420140dd1dabfc9                                                                                  |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/release/.fingerprint/llvm-tools-5dba25c57b4405e6                                                                                         |          1 |          1 |          0 |          0 |          1 |
